municipality,latitude,longitude,surface_total_in_m2,surface_covered_in_m2,rooms,price_aprox_usd
Saavedra,-34.5636408,-58.4903092,55.0,42.0,1.0,99500.0
Parque Centenario,-34.607587,-58.4306631,46.0,43.0,2.0,123000.0
Palermo,-34.5907652,-58.4172571,39.0,36.0,,112000.0
Belgrano,-34.5550983,-58.4618776,62.0,55.0,3.0,195000.0
Saavedra,-34.5538467,-58.4920942,84.0,69.0,3.0,182042.34
Villa Urquiza,-34.5688712,-58.4884216,51.0,42.0,2.0,131216.0
Abasto,-34.604459,-58.4067658,85.0,85.0,,130000.0
Boedo,-34.624942,-58.4121112,38.0,36.0,,79000.0
Las Cañitas,-34.5681113,-58.4334831,62.0,57.0,2.0,205000.0
Once,-34.5994246,-58.4079749,78.0,78.0,,195000.0
Monserrat,-34.6177615,-58.383662,42.0,34.0,,80896.57
Boedo,-34.63099,-58.4201892,36.0,34.0,,66458.0
Belgrano,-34.5594061,-58.4559962,106.0,100.0,4.0,239000.0
Belgrano,-34.564511,-58.464647,106.0,100.0,3.0,281170.0
San Telmo,-34.619474,-58.370813,50.0,50.0,3.0,93000.0
San Telmo,-34.6177225707,-58.384115696,49.0,45.0,,104400.0
Caballito,,,48.0,39.0,2.0,96298.22
Floresta,-34.6401322,-58.4780661,67.0,62.0,3.0,130000.0
Villa Pueyrredón,-34.5911955,-58.5080558,38.0,34.0,,95000.0
Palermo,-34.5696558,-58.4329632,57.0,50.0,2.0,290000.0
Barracas,-34.6390703966,-58.3693349267,88.0,75.0,1.0,185000.0
Caballito,-34.6256602055,-58.4318008844,52.0,47.0,1.0,130000.0
Palermo,-34.590515,-58.4139364,35.0,35.0,2.0,87000.0
Paternal,-34.6076685,-58.449767,53.0,45.0,2.0,125000.0
Villa Crespo,-34.5987301,-58.4352229,87.0,80.0,,152000.0
Caballito,-34.6223362,-58.4348699,99.0,59.0,2.0,219235.0
Saavedra,-34.557199,-58.480847,73.0,49.0,2.0,158000.0
Centro / Microcentro,-34.6036844,-58.3815591,43.0,34.0,3.0,98000.0
Agronomía,-34.598681,-58.4824163,94.0,43.0,2.0,148000.0
Villa Crespo,-34.5961213,-58.4460326,45.0,45.0,2.0,75000.0
Palermo,-34.5905992,-58.4329758,68.0,50.0,2.0,199000.0
Almagro,-34.610953,-58.417757,37.0,34.0,1.0,88498.0
Belgrano,-34.564511,-58.464647,132.0,117.0,4.0,332820.0
Villa Urquiza,-34.5718369,-58.479947,55.0,39.0,2.0,99800.0
Caballito,-34.6031379,-58.4574031,34.0,42.0,,88500.0
Belgrano,-34.5625468307,-58.4444345762,102.0,93.0,3.0,230000.0
Balvanera,-34.6027301,-58.3969938,76.0,76.0,,119000.0
Monserrat,-34.610111,-58.372127,143.0,143.0,6.0,280000.0
Palermo,-34.5868037398,-58.4149373391,90.0,70.0,,169000.0
Almagro,-34.6105529,-58.4117165,36.0,36.0,,67500.0
Villa Pueyrredón,-34.5818853,-58.495122,53.0,45.0,,80000.0
Almagro,-34.6123648,-58.4245924,40.0,40.0,2.0,75000.0
Barracas,,,72.0,71.0,3.0,95000.0
Villa Crespo,-34.5989208629,-58.4458254638,52.0,45.0,,125000.0
Coghlan,-34.5636498,-58.4653792,71.0,45.0,1.0,162000.0
Almagro,-34.6002458,-58.4191068,150.0,150.0,,180000.0
Monserrat,-34.610826,-58.384776,60.0,53.0,2.0,96000.0
Tribunales,-34.6052761,-58.3865454,185.0,165.0,4.0,340000.0
Nuñez,-34.5361079,-58.4671889,50.0,50.0,3.0,109000.0
San Cristobal,-34.6187943,-58.3874589,63.0,60.0,3.0,122000.0
Paternal,-34.60613,-58.4741353,57.0,52.0,3.0,120000.0
Villa Urquiza,-34.5720808,-58.4825026,52.0,49.0,2.0,126800.0
Barrio Norte,-34.5922014237,-58.3943299072,135.0,128.0,4.0,398000.0
Palermo,-34.589548,-58.4193856,74.0,67.0,3.0,190729.0
Almagro,-34.6014275,-58.4163254,44.0,38.0,,95000.0
San Telmo,-34.6206226,-58.3684327,65.0,62.0,2.0,118000.0
Boca,-34.6285441,-58.3599534,46.0,40.0,2.0,98000.0
Boedo,-34.6210893,-58.418407,73.0,73.0,3.0,130000.0
Villa Urquiza,-34.5731301,-58.48629,200.0,150.0,,285000.0
Colegiales,-34.5813995,-58.4493192,78.0,54.0,3.0,225000.0
Once,-34.6033089,-58.3971897,69.0,55.0,3.0,94000.0
Belgrano,-34.5708449,-58.440518,46.0,46.0,3.0,152000.0
Belgrano,-34.5614675664,-58.4674706534,56.0,53.0,,142000.0
Recoleta,-34.5956821,-58.3857451,156.0,132.0,,345000.0
San Telmo,-34.6264359,-58.3767255,75.0,67.0,4.0,120000.0
Paternal,-34.5958969,-58.4715637,70.0,52.0,,141780.0
Boca,-34.6380562,-58.3628343,175.0,175.0,4.0,185000.0
Flores,-34.633333,-58.466667,92.0,79.0,3.0,185000.0
Belgrano,-34.566505,-58.450619,38.0,38.0,2.0,105000.0
Barrio Norte,-34.5893050405,-58.4092220489,97.0,90.0,3.0,279000.0
Saavedra,-34.557199,-58.480847,51.0,46.0,2.0,125000.0
Barracas,-34.6321116,-58.3703982,48.0,42.0,1.0,84448.12
Palermo,-34.5907572,-58.4354142,83.0,75.0,4.0,155000.0
Flores,-34.6207377,-58.4669447,64.0,60.0,3.0,130000.0
Palermo,-34.5938779,-58.429594,45.0,40.0,2.0,143000.0
Villa Urquiza,-34.5688712,-58.4884216,41.0,38.0,1.0,89035.0
Congreso,-34.6037232,-58.3815931,129.0,129.0,,195000.0
Belgrano,-34.5605920994,-58.4439501857,83.0,76.0,3.0,249900.0
Parque Chas,-34.58423,-58.4787009,64.0,47.0,,124267.0
San Telmo,-34.6244303,-58.3741828,54.0,49.0,2.0,115079.0
Parque Patricios,-34.6299244,-58.4098381,115.0,115.0,,250800.0
Villa Crespo,-34.5962954517,-58.4385510091,85.0,76.0,4.0,160000.0
Almagro,-34.6109202,-58.416863,53.0,53.0,3.0,110000.0
Centro / Microcentro,-34.61335,-58.38465,37.0,37.0,1.0,83500.0
Palermo,-34.5741034,-58.4419019,57.0,57.0,1.0,130000.0
Centro / Microcentro,-34.5986211,-58.3714222,67.0,55.0,3.0,145000.0
Balvanera,-34.6031799,-58.394565,46.0,46.0,,84000.0
Balvanera,-34.6073418,-58.3907693,75.0,75.0,3.0,133000.0
Chacarita,-34.589809,-58.4463145,106.0,88.0,4.0,285000.0
Nuñez,-34.5536629526,-58.4555330697,55.0,52.0,3.0,150000.0
Congreso,-34.6111409182,-58.3948150344,47.0,47.0,,96000.0
Barrio Norte,-34.5986461,-58.39644,71.0,69.0,1.0,142000.0
Villa Devoto,-34.5915663,-58.5068965,70.0,65.0,3.0,210000.0
Belgrano,-34.5548123,-58.4396756,45.0,42.0,1.0,117000.0
Colegiales,-34.5818364,-58.4512878,73.0,67.0,,170000.0
Almagro,-34.6107345,-58.4147609,108.0,108.0,4.0,195000.0
Almagro,-34.60171,-58.406754,43.0,43.0,2.0,86000.0
Palermo,-34.5829764,-58.4208597,49.0,42.0,2.0,175000.0
Villa Devoto,-34.609508,-58.51432,56.0,50.0,3.0,95000.0
Congreso,,,65.0,65.0,3.0,95000.0
Barrio Norte,-34.5929249,-58.4031336,91.0,81.0,3.0,190000.0
Belgrano,-34.56537,-58.440363,81.0,79.0,4.0,165000.0
Coghlan,-34.5611709,-58.4658404,37.0,37.0,2.0,85000.0
Balvanera,-34.6140891,-58.4113361,52.0,52.0,,95000.0
Palermo,-34.5730331,-58.4191195,134.0,111.0,3.0,390000.0
Villa Urquiza,-34.5701065701,-58.4762481502,41.0,36.0,1.0,118000.0
Caballito,-34.6130232,-58.4403397,55.0,51.0,2.0,154000.0
Barrio Norte,-34.5930858,-58.4047026,95.0,81.0,4.0,245000.0
Balvanera,-34.61601,-58.411101,108.0,38.0,1.0,114000.0
Puerto Madero,-34.6153103,-58.3619834,57.0,54.0,2.0,205095.0
Mataderos,-34.6476061,-58.4983902,80.0,65.0,3.0,123000.0
Palermo,-34.5898226,-58.4176726,77.0,72.0,3.0,208000.0
Villa General Mitre,-34.6088594,-58.4697774,105.0,100.0,,190000.0
San Telmo,-34.6268136,-58.3742088,100.0,100.0,5.0,220000.0
Boedo,-34.6212444,-58.4203257,59.0,45.0,2.0,140000.0
San Cristobal,-34.6177722,-58.406557,36.0,35.0,,66458.0
San Cristobal,-34.6186575,-58.4011917,57.0,38.0,2.0,88000.0
Barrio Norte,-34.5928725,-58.3782001,122.0,122.0,5.0,280000.0
Belgrano,-34.5537706,-58.4555007,54.0,54.0,,160000.0
Las Cañitas,-34.5700969,-58.4323015,116.0,91.0,,279000.0
Tribunales,-34.59793,-58.3882455,62.0,62.0,1.0,165000.0
Barrio Norte,-34.5991142,-58.3945029,37.0,37.0,2.0,99000.0
Almagro,-34.6132199,-58.4249296,66.0,63.0,,85000.0
Caballito,-34.6132024,-58.4330886,47.0,43.0,2.0,120029.46
Palermo,-34.5875191,-58.4090566,55.0,50.0,2.0,280000.0
San Telmo,-34.620318,-58.377252,64.0,46.0,3.0,130000.0
Almagro,-34.5998903,-58.4297696,140.0,114.0,4.0,283000.0
Puerto Madero,-34.6148839,-58.363056,61.0,61.0,2.0,325000.0
Once,-34.602461,-58.404938,131.0,121.0,5.0,175000.0
Almagro,-34.6096454,-58.4186777,40.0,40.0,2.0,85000.0
Palermo,-34.5806183,-58.442037,77.0,69.0,3.0,330000.0
Balvanera,-34.6095979,-58.4189946,58.0,54.0,2.0,119000.0
Caballito,-34.6063416,-58.4464868,37.0,34.0,1.0,88060.0
Villa Santa Rita,-34.6110666,-58.4871486,55.0,50.0,,85000.0
Palermo,-34.5746052,-58.437618,78.0,70.0,3.0,285000.0
Barrio Norte,-34.5900642,-58.3919863,90.0,90.0,4.0,230000.0
Floresta,,,91.0,91.0,,190000.0
Palermo,-34.5925561,-58.4309181,49.0,47.0,1.0,135000.0
Villa del Parque,-34.5981394,-58.486145,51.0,39.0,1.0,110940.0
San Telmo,-34.6244303,-58.3741828,52.0,47.0,2.0,111359.0
Palermo,-34.586138,-58.438585,60.0,55.0,2.0,140000.0
Villa Devoto,-34.606967,-58.5157689,46.0,40.0,2.0,125000.0
Recoleta,-34.5974998,-58.3948149,204.0,174.0,5.0,340000.0
Congreso,-34.6181654,-58.3924669762,278.0,102.0,,262000.0
Monserrat,-34.6133619,-58.38541,36.0,36.0,1.0,84000.0
Caballito,-34.620698,-58.4284928,54.0,49.0,,127000.0
San Telmo,-34.620556,-58.371667,52.0,46.0,2.0,134827.61
Flores,-34.620043,-58.462678,49.0,44.0,2.0,98000.0
Villa del Parque,-34.6148053,-58.4769393,76.0,66.0,3.0,130000.0
San Telmo,-34.61901,-58.377319,76.0,65.0,3.0,99000.0
Villa Urquiza,-34.5716907995,-58.4774176961,141.0,64.0,3.0,220000.0
Versalles,-34.6340028063,-58.5291707087,64.0,49.0,,82000.0
Belgrano,-34.6121231,-58.3672281,42.0,38.0,1.0,105000.0
Boca,-34.638122,-58.363254,114.0,51.0,4.0,108000.0
San Nicolás,-34.5976889,-58.3795044,60.0,60.0,3.0,90000.0
Palermo,-34.5861553,-58.4300609,43.0,39.0,2.0,120000.0
Villa Crespo,-34.5966566,-58.4381344,66.0,63.0,3.0,115000.0
Belgrano,-34.5553119,-58.4405232,47.0,42.0,2.0,130000.0
Boca,-34.63874,-58.361006,420.0,275.0,5.0,400000.0
Palermo,-34.5888889,-58.4305556,42.0,37.0,,59815.05
Barracas,-34.63295,-58.373844,92.0,86.0,3.0,220000.0
Caballito,-34.6239548,-58.449926,124.0,114.0,5.0,245000.0
Congreso,-34.6118917,-58.3970302,71.0,71.0,3.0,125000.0
Palermo,-34.592068,-58.4334936,45.0,42.0,2.0,107000.0
Monserrat,-34.6113922,-58.373383,77.0,44.0,2.0,203000.0
Boca,-34.632076,-58.3630584,64.0,64.0,3.0,80000.0
Puerto Madero,-34.607036,-58.3667729,107.0,58.0,2.0,395000.0
Balvanera,-34.6378706,-58.3602495,60.0,60.0,3.0,85000.0
San Telmo,-34.6174473,-58.3752695,46.0,44.0,3.0,90000.0
Flores,-34.6195076,-58.4780504,48.0,46.0,2.0,99300.0
Almagro,-34.6107644,-58.4289207,62.0,59.0,,129000.0
Palermo,-34.5804014042,-58.4418550761,41.0,36.0,1.0,122000.0
Caballito,-34.6246107,-58.4513613,51.0,51.0,,98000.0
Caballito,-34.6126347,-58.4417222,159.0,148.0,,340000.0
Palermo,-34.5898479,-58.4074028,100.0,94.0,4.0,245000.0
Villa Crespo,-34.5968099043,-58.4419467474,100.0,88.0,,215000.0
Floresta,-34.6313504,-58.487992,95.0,95.0,4.0,135000.0
Almagro,-34.604952,-58.4150909,240.0,240.0,,360000.0
Coghlan,-34.5560058,-58.4779032,55.0,50.0,2.0,97000.0
Nuñez,-34.5512502,-58.4523873,49.0,46.0,2.0,155000.0
Nuñez,-34.5514604244,-58.4677296433,64.0,64.0,2.0,181721.32
Liniers,-34.6535155,-58.5229925,62.0,56.0,3.0,65000.0
Parque Chacabuco,-34.6381014,-58.4319068,51.0,43.0,2.0,92500.0
Once,-34.6012117102,-58.4024159573,150.0,142.0,4.0,347000.0
Recoleta,-34.5859727,-58.4148281,229.0,70.0,3.0,225000.0
Paternal,-34.6050004,-58.4591789,75.0,62.0,3.0,109000.0
Balvanera,-34.6053948,-58.3922096,126.0,124.0,,185000.0
Boca,-34.633449,-58.36955,59.0,51.0,3.0,125000.0
Villa Crespo,-34.6031267,-58.4410494,41.0,34.0,1.0,95000.0
Villa Urquiza,-34.5715462,-58.4832391,38.0,35.0,,94000.0
Boca,-34.6316459,-58.3629581,97.0,73.0,3.0,82000.0
Palermo,-34.5699597626,-58.4309854928,120.0,110.0,3.0,350000.0
Caballito,-34.610635,-58.443855,63.0,60.0,3.0,176000.0
Barrio Norte,-34.5972185,-58.3918557,40.0,36.0,1.0,108000.0
Belgrano,-34.5602381374,-58.4436559523,69.0,63.0,3.0,185000.0
Nuñez,-34.5495227,-58.4692294,137.0,47.0,2.0,191000.0
Palermo,-34.5830691,-58.4481004,46.0,43.0,1.0,90000.0
Belgrano,-34.5620246,-58.4580944,82.0,79.0,4.0,180000.0
Belgrano,-34.5545426,-58.4615875,135.0,135.0,4.0,360000.0
Caballito,-34.6306674,-58.4534846,55.0,50.0,2.0,145000.0
Belgrano,-34.5786879,-58.4573579,46.0,46.0,1.0,88000.0
San Cristobal,-34.6235,-58.404180217,46.0,42.0,2.0,94905.48
Villa Urquiza,-34.5719003943,-58.4744939153,94.0,61.0,2.0,183300.0
Villa Crespo,-34.5933706,-58.4422322,40.0,35.0,1.0,78100.0
Villa Urquiza,-34.5758276,-58.4951948,37.0,35.0,1.0,80000.0
San Nicolás,-34.60615,-58.379495,46.0,42.0,,84500.0
Belgrano,-34.5663095,-58.4703235,37.0,37.0,2.0,93000.0
Caballito,-34.6173646,-58.4620706,47.0,42.0,1.0,105925.77
Liniers,-34.6414216,-58.5276695,70.0,70.0,3.0,125000.0
Recoleta,-34.5894007,-58.4067004,110.0,103.0,4.0,259000.0
Nuñez,-34.5493342,-58.4543951,41.0,36.0,1.0,118000.0
Almagro,-34.6125496,-58.4329772,72.0,58.0,2.0,148847.0
Boedo,-34.6234204,-58.4122482,75.0,70.0,,144000.0
Flores,-34.6312846,-58.4679579,46.0,42.0,2.0,73000.0
Villa Urquiza,-34.583376,-58.4729872,35.0,35.0,1.0,75000.0
Almagro,-34.602763873,-58.4331898201,78.0,70.0,,135000.0
Boca,-34.636504,-58.363534,271.0,149.0,5.0,102000.0
San Telmo,-34.623632,-58.378348,70.0,70.0,3.0,110000.0
Coghlan,-34.5571768,-58.4743335,226.0,103.0,3.0,388000.0
Caballito,-34.6148483,-58.4604643,40.0,35.0,1.0,101808.0
Villa Crespo,-34.5989732,-58.4290863,50.0,43.0,,105000.0
Caballito,-34.607026,-58.442438,48.0,42.0,2.0,137000.0
Floresta,,,54.0,37.0,,80000.0
Barracas,-34.637261,-58.36907,49.0,44.0,2.0,90123.38
Villa Urquiza,-34.5564958379,-58.4890118641,55.0,47.0,,100200.0
Coghlan,-34.5742368234,-58.4725524607,50.0,48.0,,115000.0
Centro / Microcentro,-34.6046743299,-58.4019804129,70.0,70.0,3.0,120000.0
Recoleta,-34.5951769,-58.3857756,156.0,132.0,5.0,350000.0
Chacarita,-34.5936671,-58.4452762,34.0,34.0,2.0,75000.0
Flores,-34.6288527962,-58.4677935278,39.0,35.0,1.0,88657.38
San Telmo,-34.6213248919,-58.3741378784,38.0,35.0,1.0,69000.0
Flores,-34.6225465508,-58.4614326603,78.0,78.0,4.0,135000.0
Villa Crespo,-34.5970138957,-58.4341279413,106.0,99.0,4.0,184000.0
Belgrano,-34.5627120494,-58.4576464929,75.0,63.0,,159000.0
San Telmo,-34.6251184,-58.3767435,53.0,50.0,,95000.0
Parque Avellaneda,-34.6627068247,-58.4704475068,57.0,57.0,3.0,60000.0
Villa del Parque,-34.5942724,-58.4949974,52.0,48.0,,110000.0
Caballito,-34.6371937,-58.4391081,70.0,70.0,,115000.0
Boedo,-34.6304352,-58.4265762,130.0,90.0,4.0,230000.0
Almagro,-34.602018189,-58.4312446717,48.0,39.0,2.0,92000.0
Almagro,-34.6036554,-58.4167791,53.0,53.0,3.0,109000.0
Centro / Microcentro,-34.6071702,-58.3963783,118.0,118.0,4.0,170000.0
Villa Crespo,-34.6031267,-58.4410494,41.0,36.0,1.0,93500.0
Villa Crespo,-34.59475,-58.4398737,70.0,65.0,3.0,154500.0
Palermo,-34.5804119,-58.4295334,77.0,69.0,,197000.0
Villa Urquiza,-34.5648103,-58.4839077,180.0,128.0,,260000.0
Caballito,-34.6150122,-58.4421941,60.0,55.0,3.0,177000.0
Monserrat,-34.6130871,-58.3813599,40.0,37.0,,83000.0
Abasto,-34.599703,-58.407118,46.0,35.0,2.0,85000.0
Flores,-34.6269504,-58.4619505,135.0,123.0,4.0,169000.0
Villa Crespo,-34.602307,-58.4423878,130.0,120.0,4.0,195000.0
Caballito,-34.605963,-58.429451,48.0,46.0,2.0,118000.0
Belgrano,-34.5538375,-58.4403684,50.0,50.0,3.0,138000.0
Barracas,-34.6414041336,-58.3707143353,63.0,60.0,3.0,150000.0
Belgrano,-34.5537438,-58.4367477,50.0,50.0,1.0,155000.0
Barrio Norte,-34.5960569,-58.3959888,170.0,167.0,5.0,380000.0
Palermo,-34.5978249,-58.4164389,50.0,45.0,1.0,136000.0
Nuñez,-34.5519973086,-58.4587302629,49.0,45.0,2.0,175000.0
Almagro,-34.6024867,-58.430141,122.0,110.0,,279000.0
Villa Urquiza,-34.5614806844,-58.4642091688,80.0,72.0,,190000.0
Belgrano,-34.5677584,-58.4751802,37.0,37.0,2.0,120000.0
Caballito,-34.6116423,-58.4465187,38.0,38.0,2.0,85000.0
Belgrano,-34.5572395,-58.4649269,37.0,35.0,1.0,92000.0
Boca,-34.6331221,-58.3610542,90.0,80.0,4.0,110000.0
Barrio Norte,-34.594393,-58.3976095,86.0,86.0,,240000.0
Villa Crespo,-34.6025109,-58.4291235,100.0,95.0,4.0,149500.0
Congreso,-34.6045835,-58.374937,39.0,37.0,,73000.0
Coghlan,-34.5609681,-58.4758459,39.0,34.0,1.0,96000.0
Villa Crespo,-34.5975665,-58.4410115,88.0,85.0,2.0,165000.0
Flores,-34.6206092,-58.4608419,86.0,86.0,3.0,160000.0
Palermo,-34.5824698,-58.4232882,38.0,34.0,2.0,91200.0
Almagro,-34.6210349,-58.4175258,40.0,37.0,1.0,89000.0
Villa Crespo,-34.6035293,-58.4426917,44.0,42.0,2.0,93000.0
Almagro,-34.6072245,-58.4299827,43.0,43.0,2.0,110000.0
Flores,-34.6296861,-58.4663085,67.0,65.0,3.0,84900.0
Puerto Madero,-34.6134686,-58.3624207,88.0,88.0,,390000.0
Colegiales,-34.5838899,-58.446205,91.0,55.0,2.0,145000.0
Villa Ortuzar,-34.5868243,-58.4709285,45.0,42.0,2.0,89000.0
Flores,-34.6243382284,-58.4584291873,92.0,79.0,3.0,185000.0
Barrio Norte,-34.5942200865,-58.4034886949,50.0,50.0,2.0,135000.0
Recoleta,-34.5909274,-58.394947,89.0,86.0,3.0,272000.0
Recoleta,-34.5857939,-58.3941849,110.0,101.0,5.0,257000.0
Flores,-34.6264374,-58.4598574,68.0,56.0,,144693.05
Villa Crespo,-34.5961309,-58.4388536,76.0,65.0,3.0,159500.0
Villa Crespo,-34.5976786,-58.4430195,75.0,70.0,2.0,149000.0
Coghlan,-34.5632157,-58.4749849,38.0,38.0,2.0,74500.0
Balvanera,-34.6106208319,-58.3946178405,163.0,154.0,4.0,270000.0
Villa Crespo,-34.5991285,-58.4449945,52.0,46.0,2.0,125000.0
Almagro,-34.6140311,-58.4248489,94.0,87.0,4.0,183000.0
Parque Patricios,-34.6299244,-58.4098381,77.0,77.0,3.0,169500.0
Nuñez,-34.5443763617,-58.4591152317,90.0,86.0,4.0,309000.0
Barrio Norte,-34.5972096913,-58.3975115243,110.0,70.0,4.0,175000.0
Belgrano,-34.564511,-58.464647,39.0,37.0,2.0,109472.0
Villa Crespo,-34.5953532,-58.4361049,46.0,40.0,2.0,129000.0
Balvanera,-34.6166811,-58.3869394,78.0,78.0,3.0,115000.0
Congreso,-34.6120151,-58.3982749,87.0,51.0,,145000.0
Recoleta,-34.5979106,-58.405999,75.0,75.0,3.0,185000.0
San Cristobal,-34.6244262,-58.3973636,63.0,60.0,,122000.0
Saavedra,-34.5551536,-58.4811299,70.0,55.0,,120000.0
Balvanera,-34.6059063,-58.4046881,132.0,111.0,3.0,139000.0
Mataderos,-34.6572422,-58.5029706,48.0,42.0,,87000.0
Recoleta,-34.5862396,-58.387691,95.0,87.0,4.0,320000.0
Flores,-34.6260802,-58.4624526,84.0,69.0,3.0,120000.0
Almagro,-34.6455229,-58.465639,50.0,50.0,3.0,90000.0
Caballito,-34.607026,-58.442438,49.0,44.0,2.0,143000.0
Chacarita,-34.5832446,-58.4557785,57.0,57.0,3.0,115000.0
Once,-34.6044772,-58.4066461,85.0,80.0,3.0,150000.0
Villa Urquiza,-34.5711476,-58.4808834,66.0,61.0,3.0,190000.0
Belgrano,-34.555317,-58.4571433,109.0,100.0,3.0,350000.0
Villa Urquiza,-34.5796587,-58.4766458,67.0,67.0,2.0,159000.0
Caballito,-34.6174533,-58.4378953,95.0,76.0,,175000.0
Villa Pueyrredón,-34.5893829666,-58.5113893259,71.0,51.0,,119000.0
Palermo,-34.5814909,-58.4483922,61.0,56.0,,210000.0
Flores,-34.615974,-58.438168,41.0,37.0,,79800.0
Flores,-34.6268056,-58.4604629,80.0,80.0,4.0,176000.0
Villa Crespo,-34.6031267,-58.4410494,56.0,34.0,1.0,97500.0
Congreso,-34.6135374,-58.3875606,72.0,64.0,3.0,160000.0
Palermo,-34.5762386,-58.4199784,40.0,37.0,1.0,185000.0
Flores,-34.6195076,-58.4780504,48.0,46.0,2.0,92200.0
Parque Patricios,-34.6239658,-58.3656092,69.0,69.0,3.0,151800.0
Villa Crespo,-34.6030744969,-58.452836385,42.0,42.0,2.0,85000.0
Parque Centenario,-34.60746,-58.43891555,44.0,34.0,1.0,81900.0
Barrio Norte,-34.6037137392,-58.3815808896,91.0,91.0,3.0,240000.0
Caballito,-34.6073276,-58.4572415,184.0,106.0,3.0,159500.0
Villa del Parque,-34.6067575077,-58.4878228624,57.0,57.0,3.0,105000.0
Villa Urquiza,-34.579282,-58.48918,55.0,46.0,1.0,115000.0
Villa Crespo,-34.5998659,-58.4489357,69.0,69.0,,148000.0
Barrio Norte,-34.5932118,-58.4017499,133.0,133.0,4.0,385000.0
Belgrano,-34.5595205148,-58.4451138624,82.0,75.0,,359950.0
Balvanera,-34.6022218,-58.3989723,50.0,36.0,,85000.0
Palermo,-34.591568,-58.4135803,35.0,35.0,,95000.0
Villa Devoto,-34.5985436,-58.5013981,44.0,44.0,2.0,74000.0
Barrio Norte,-34.5897591,-58.3938115,101.0,76.0,3.0,300000.0
Palermo,-34.5787149,-58.4339876,56.0,56.0,,185000.0
Belgrano,-34.5575196,-58.4741215,130.0,80.0,,239000.0
Belgrano,-34.5446865,-58.4659096,90.0,63.0,,180000.0
Villa Crespo,-34.5961219,-58.4255006,75.0,64.0,3.0,148000.0
Balvanera,-34.6120655,-58.4057337,85.0,85.0,5.0,150000.0
Belgrano,-34.5611136,-58.4575457,58.0,58.0,3.0,136000.0
Caballito,-34.620698,-58.4284928,52.0,47.0,,120000.0
Belgrano,-34.5502714,-58.4531919,76.0,72.0,3.0,220000.0
Recoleta,-34.5883642,-58.3900662,90.0,90.0,,330000.0
Parque Avellaneda,-34.6451582,-58.4907929,59.0,55.0,3.0,92500.0
Puerto Madero,-34.6212351809,-58.3610688508,37.0,37.0,1.0,180000.0
Paternal,-34.5904622,-58.370987,51.0,46.0,2.0,102921.0
Congreso,-34.6138007421,-58.3924221222,97.0,56.0,,135000.0
Palermo,-34.5928876943,-58.3782822115,149.0,143.0,4.0,385000.0
Palermo,-34.5921362,-58.4118019,90.0,87.0,3.0,190000.0
Belgrano,-34.5600767,-58.4463618,78.0,70.0,3.0,340000.0
Saavedra,-34.5475074,-58.4842066,68.0,52.0,2.0,145000.0
Barrio Norte,-34.6037137392,-58.3815808896,104.0,104.0,2.0,320000.0
Caballito,-34.6176481,-58.4619167,47.0,42.0,2.0,120637.7
Flores,-34.6262815,-58.4538101,68.0,68.0,3.0,125000.0
Almagro,-34.612287,-58.422895,121.0,109.0,4.0,319353.0
Belgrano,-34.5620844,-58.4566864,58.0,58.0,3.0,149000.0
Caballito,-34.609251,-58.431375,86.0,70.0,3.0,156000.0
Villa Urquiza,-34.5671066,-58.4723916,38.0,34.0,1.0,110207.0
Nuñez,-34.5515084,-58.4647326,63.0,53.0,,143000.0
Recoleta,-34.5900264,-58.3939516,47.0,47.0,,125000.0
Almagro,-34.6220775573,-58.4040959459,46.0,42.0,,93392.78
Flores,-34.6248503,-58.4627606,140.0,120.0,5.0,220000.0
Almagro,-34.597982,-58.426876,66.0,60.0,3.0,165000.0
Villa Luro,-34.6405283,-58.5294588,55.0,50.0,,145000.0
Coghlan,-34.5562882,-58.4614498,154.0,46.0,2.0,168500.0
Parque Centenario,-34.6025627,-58.4419902,70.0,70.0,4.0,139500.0
Almagro,-34.6120974507,-58.4238887621,108.0,76.0,3.0,155000.0
Palermo,-34.5982067,-58.4220727,53.0,45.0,2.0,120000.0
Almagro,-34.6094846,-58.4186866,45.0,40.0,2.0,70000.0
Saavedra,-34.546881,-58.478594,56.0,48.0,1.0,93000.0
Las Cañitas,-34.5680671,-58.4334097,83.0,47.0,,195000.0
Monserrat,-34.6130871,-58.3813599,59.0,53.0,3.0,95000.0
Palermo,-34.5706156,-58.4314047,58.0,51.0,2.0,175000.0
Belgrano,-34.5535295,-58.4495668,158.0,58.0,2.0,320000.0
Belgrano,-34.5633108169,-58.4671910177,177.0,165.0,,360000.0
Almagro,-34.612287,-58.422895,89.0,82.0,3.0,214073.0
Villa Crespo,-34.601017,-58.4313746,69.0,66.0,3.0,138000.0
Belgrano,-34.56365,-58.4653795,63.0,55.0,3.0,189500.0
San Telmo,-34.6235515,-58.3740817,60.0,57.0,3.0,138159.0
Almagro,-34.597982,-58.426876,66.0,60.0,3.0,157000.0
Puerto Madero,-34.6169685,-58.3617114,75.0,70.0,3.0,352000.0
Villa Santa Rita,-34.6187853,-58.4791827,48.0,43.0,,85000.0
Almagro,-34.6014274,-58.4163257,45.0,45.0,,94700.0
Villa Urquiza,-34.5693072,-58.4872507,130.0,100.0,,300000.0
Colegiales,-34.5819231,-58.4540536,150.0,105.0,3.0,230000.0
Caballito,-34.609224,-58.434428,58.0,41.0,1.0,123200.0
